sentence,answer,choices,hint
Quiero que ___ (tú) conmigo.,vengas,vienes;venías;vendrás,"Я хочу, чтобы ты пошёл со мной."
Es posible que ___ (ellos) tarde.,lleguen,llegan;llegaron;llegarán,"Возможно, они опоздают."
Espero que ___ (tú) bien.,estés,estás;estabas;estarás,"Надеюсь, что у тебя всё хорошо."
Ojalá ___ (nosotros) tiempo mañana.,tengamos,tenemos;teníamos;tendremos,Хоть бы у нас завтра было время.
No creo que ___ (él) razón.,tenga,tiene;tenía;tendrá,"Я не думаю, что он прав."
Es necesario que usted ___ aquí.,firme,firma;firmó;firmará,"Необходимо, чтобы вы расписались здесь."
Dudo que ella ___ la verdad.,diga,dice;dijo;dirá,"Сомневаюсь, что она говорит правду."
Mis padres quieren que yo ___ medicina.,estudie,estudio;estudié;estudiaré,"Мои родители хотят, чтобы я изучал медицину."
Es importante que todos ___ las reglas.,respeten,respetan;respetaron;respetarán,"Важно, чтобы все соблюдали правила."
No pienso que ___ (nosotros) suficiente dinero.,tengamos,tenemos;teníamos;tendremos,"Я не думаю, что у нас достаточно денег."
Le pido que ___ (usted) más despacio.,hable,habla;habló;hablará,Прошу вас говорить помедленнее.
Ojalá ___ (hacer) buen tiempo el fin de semana.,haga,hace;hizo;hará,Хоть бы в выходные была хорошая погода.
Es mejor que ___ (tú) descanses hoy.,descanses,descansas;descansaste;descansarás,Лучше тебе сегодня отдохнуть.
Prefiero que lo ___ (hacer) tú.,hagas,haces;hiciste;harás,"Я предпочитаю, чтобы это сделал ты."
No fui a la fiesta ___ estaba enfermo.,porque,aunque;sino;mientras,"Я не пошёл на вечеринку, потому что был болен."
"___ llueve, saldremos a caminar.",Aunque,Porque;Sino;Cuando,"Хотя идёт дождь, мы пойдём гулять."
"Estudié mucho, ___ no aprobé el examen.",pero,porque;aunque;así que,"Я много учился, но не сдал экзамен."
"Llegué tarde, ___ perdí el autobús.",así que,porque;pero;sino,"Я опоздал, поэтому пропустил автобус."
No quiero café ___ té.,sino,pero;porque;aunque,"Я хочу не кофе, а чай."
"___ termines la tarea, avísame.",Cuando,Aunque;Porque;Sino,"Когда закончишь домашнее задание, дай мне знать."
Iré a la playa ___ haga sol.,si,aunque;porque;sino,"Я пойду на пляж, если будет солнечно."
Ella habla inglés y ___ francés.,también,tampoco;sino;aunque,"Она говорит по-английски, а также по-французски."
"No tengo hambre, ___ voy a comer algo.",sin embargo,porque;así que;sino,"Я не голоден, однако съем что-нибудь."
Estudio español ___ poder viajar por Latinoamérica.,para,porque;aunque;sino,"Я изучаю испанский, чтобы иметь возможность путешествовать по Латинской Америке."
Vino a la reunión ___ estaba muy cansado.,aunque,porque;sino;así que,"Он пришёл на собрание, хотя очень устал."
No fue Juan ___ Pedro quien llamó.,sino,pero;porque;aunque,"Звонил не Хуан, а Педро."
___ habla español en Argentina.,Se,Es;Está;Hay,В Аргентине говорят по-испански.
___ vende esta casa.,Se,Es;Está;Hay,Этот дом продаётся.
___ necesitan camareros con experiencia.,Se,Es;Está;Han,Требуются официанты с опытом.
¿Cómo ___ dice 'thank you' en español?,se,es;está;hay,Как сказать «thank you» по-испански?
___ come muy bien en este restaurante.,Se,Es;Está;Hay,В этом ресторане очень хорошо готовят.
___ prohíbe fumar aquí.,Se,Es;Está;Han,Здесь запрещено курить.
___ alquilan bicicletas cerca de la playa.,Se,Es;Está;Hay,Рядом с пляжем сдают в аренду велосипеды.
___ dice que va a llover mañana.,Se,Es;Está;Hay,"Говорят, что завтра будет дождь."
En esta oficina ___ trabaja mucho.,se,es;está;han,В этом офисе много работают.
___ puede aparcar aquí los domingos.,Se,Es;Está;Hay,По воскресеньям здесь можно парковаться.
___ buscan voluntarios para el evento.,Se,Es;Está;Han,Ищут волонтёров для мероприятия.
Aquí ___ habla mucho de política.,se,es;está;hay,Здесь много говорят о политике.
Mi hermano es ___ alto que yo.,más,menos;tan;tanto,Мой брат выше меня.
Ella corre ___ rápido como su hermana.,tan,más;menos;tanto,"Она бежит так же быстро, как её сестра."
Este coche es ___ caro que aquel.,menos,más;tan;tanto,"Эта машина дешевле, чем та."
Tengo ___ libros como tú.,tantos,tan;más;menos,"У меня столько же книг, сколько у тебя."
Juan es el ___ inteligente de la clase.,más,menos;tan;tanto,Хуан самый умный в классе.
Este es el peor restaurante ___ he visitado.,que,como;de;más,"Это худший ресторан, который я посещал."
Mi casa es ___ grande como la tuya.,tan,más;menos;tanto,"Мой дом такой же большой, как твой."
"Cuanto ___ estudias, mejor entiendes.",más,menos;tan;tanto,"Чем больше ты учишься, тем лучше понимаешь."
Ella tiene ___ paciencia que su madre.,menos,más;tan;tantos,"У неё меньше терпения, чем у её матери."
Es el mejor libro ___ he leído.,que,como;de;más,"Это лучшая книга, которую я читал."
No hay nada ___ importante como la salud.,tan,más;menos;tanto,"Нет ничего такого важного, как здоровье."
Trabajamos ___ horas como ellos.,tantas,tantos;tan;más,"Мы работаем столько же часов, сколько они."
