es,ru,example
plantear,"ставить (вопрос), выдвигать",El informe plantea varias cuestiones importantes.
abordar,"браться за, затрагивать (тему)",El gobierno debe abordar el problema de la vivienda.
desempeñar,"исполнять (роль, обязанности)",La educación desempeña un papel clave en el desarrollo.
otorgar,"предоставлять, присуждать",Le otorgaron el premio a la mejor novela.
conceder,"давать, уступать",El banco le concedió el préstamo.
carecer,испытывать нехватку,La región carece de agua potable.
constar,состоять из; быть очевидным,El libro consta de doce capítulos.
acarrear,влечь за собой,Esa decisión puede acarrear graves consecuencias.
conllevar,"подразумевать, влечь",El cargo conlleva mucha responsabilidad.
suscitar,"вызывать, порождать",Sus declaraciones suscitaron una gran polémica.
fomentar,"поощрять, содействовать",El programa fomenta la lectura entre los jóvenes.
promover,"продвигать, способствовать",La campaña promueve hábitos saludables.
impulsar,"стимулировать, продвигать",Las nuevas medidas impulsaron la economía.
respaldar,"поддерживать, подкреплять",Los datos respaldan nuestra hipótesis.
rechazar,отвергать,El comité rechazó la propuesta.
descartar,"исключать, отбрасывать",La policía no descarta ninguna hipótesis.
plasmar,"воплощать, отражать",El autor plasma sus recuerdos en la novela.
reflejar,отражать,La encuesta refleja la opinión de los jóvenes.
abarcar,охватывать,El estudio abarca tres décadas.
englobar,включать в себя,El término engloba varios conceptos distintos.
vincular,"связывать, увязывать",
derivar,"происходить, проистекать",
radicar,"заключаться, корениться",
subrayar,подчёркивать,
recalcar,особо подчёркивать,
matizar,"уточнять, оговаривать",
aclarar,прояснять,
esclarecer,"выяснять, раскрывать",
averiguar,"выяснять, разузнавать",
indagar,"расследовать, дознаваться",
percatarse,"замечать, отдавать себе отчёт",
vislumbrar,"смутно различать, предвидеть",
atisbar,"подмечать, угадывать",
sopesar,взвешивать (за и против),
ponderar,"обдумывать, взвешивать",
cuestionar,ставить под сомнение,
refutar,опровергать,
rebatir,оспаривать,
aludir,"ссылаться, намекать",
incidir,"влиять, делать упор",
repercutir,"сказываться, отражаться",
desencadenar,"развязывать, провоцировать",
agravar,усугублять,
paliar,"смягчать, облегчать",
mitigar,"уменьшать, смягчать",
subsanar,"исправлять, устранять",
erradicar,искоренять,
desmentir,опровергать (слухи),
tergiversar,"искажать, перевирать",
eludir,"уклоняться, избегать",
soslayar,обходить (вопрос),
acatar,"подчиняться, соблюдать",
vulnerar,"нарушать (права, закон)",
incumplir,не выполнять,
velar por,"заботиться о, следить за",
abogar por,"выступать за, ратовать за",
no obstante,тем не менее,
asimismo,"также, равным образом",
por consiguiente,следовательно,
en consecuencia,как следствие,
por ende,"стало быть, следовательно",
cabe destacar,стоит отметить,
en cuanto,как только; что касается,
dado que,"поскольку, ввиду того что",
puesto que,"так как, поскольку",
siempre y cuando,при условии что,
a fin de,с целью,
con respecto a,"относительно, касательно",
a raíz de,"вследствие, в результате",
en vísperas de,накануне,
a grandes rasgos,в общих чертах,
en aras de,"ради, во имя",
el planteamiento,"постановка (вопроса), подход",
el enfoque,"подход, ракурс",
la índole,"характер, род (чего-либо)",
el matiz,"оттенок, нюанс",
la pauta,"ориентир, образец",
el auge,"подъём, расцвет",
el declive,"упадок, спад",
la envergadura,"размах, масштаб",
el desafío,вызов (задача),
el reto,"вызов, сложная задача",
la amenaza,угроза,
el vínculo,"связь, узы",
la brecha,"разрыв, брешь",
el sesgo,"предвзятость, уклон",
la postura,позиция (мнение); поза,
la trayectoria,"путь, карьерный путь",
el desempeño,"выполнение, результативность",
la incertidumbre,неопределённость,
la certeza,"уверенность, достоверность",
el hallazgo,"находка, открытие",
imprescindible,"необходимый, незаменимый",
ineludible,"неизбежный, неотвратимый",
insoslayable,"неминуемый, обязательный",
contundente,"убедительный, решительный",
fehaciente,"достоверный, неопровержимый",
verosímil,правдоподобный,
inverosímil,неправдоподобный,
escueto,"лаконичный, сжатый",
paulatino,постепенный,
vertiginoso,"головокружительный, стремительный",
